Columns SRC,Columns_Mediate_schema
id,tweet_id
conversation_id,conversation_id
created_at,
date,timestamp (in unix time)
time,timestamp (in unix time)
timezone, timestamp (in unix time)
user_id,author_id
username,
name,
place,
tweet,text
language,
mentions,
urls,
photos,
replies_count,
retweets_count,
likes_count,
hashtags,
cashtags,
link,
retweet,
quote_url,
video,
thumbnail,
near,
geo,
source,
user_rt_id,
user_rt,
retweet_id,
reply_to, conversation_author_id
retweet_date,
translate,
trans_src,
trans_dest,
