tweet_id,Source,Target,conversation_id,limitedTopics
7569520237,14243746,,7569520237,"[6, 8, 4, 5, 9, 7, 3, 1, 2, 0]"
7685436378,15168790,,7685436378,"[6, 8, 5, 9, 7, 0, 2, 4, 3, 1]"
8329693076,17220423,,8329693076,"[6, 8, 4, 5, 9, 7, 3, 2, 0, 1]"
8337897205,17220423,,8337897205,"[6, 8, 4, 5, 9, 7, 3, 2, 1, 0]"
9356445979,17243913,,9356445979,"[6, 8, 4, 5, 9, 7, 2, 1, 3, 0]"
9928344889,14590971,,9928344889,"[6, 8, 4, 5, 9, 7, 3, 2, 1, 0]"
10187471675,6680762,,10187471675,"[6, 4, 5, 9, 7, 2, 8, 0, 1, 3]"
10261861111,13830762,,10261861111,"[6, 8, 4, 5, 9, 7, 3, 0, 1, 2]"
10984801441,99814274,,10984801441,"[6, 8, 4, 5, 9, 7, 0, 2, 1, 3]"
13267197990,90548758,,13267197990,"[6, 8, 4, 9, 7, 3, 0, 5, 1, 2]"
16341795286,77557701,,16341795286,"[6, 8, 5, 9, 7, 3, 1, 4, 2, 0]"
16721857734,54165269,,16721857734,"[6, 8, 4, 5, 9, 3, 1, 2, 7, 0]"
17417806894,16441758,,17417806894,"[6, 8, 4, 5, 9, 7, 0, 2, 3, 1]"
17609425739,37759047,,17609425739,"[6, 8, 5, 7, 1, 2, 3, 0, 9, 4]"
20258366944,128175561,,20258366944,"[6, 8, 5, 7, 3, 4, 9, 2, 0, 1]"
20776762231,18059285,,20776666785,"[6, 8, 4, 5, 9, 7, 3, 2, 1, 0]"
22278057159,15313,,22278057159,"[6, 8, 4, 5, 9, 7, 3, 2, 1, 0]"
22489472930,35742317,,22489472930,"[6, 8, 4, 5, 9, 3, 0, 2, 1, 7]"
22631851436,15154811,,22631851436,"[6, 8, 4, 5, 9, 7, 3, 0, 2, 1]"
24326241204,76296208,,24325206522,"[6, 8, 4, 5, 7, 1, 2, 9, 3, 0]"
24394940232,14562685,,24394940232,"[6, 4, 5, 7, 3, 9, 2, 8, 0, 1]"
25241675249,8468632,,25241675249,"[6, 4, 5, 9, 7, 3, 8, 0, 1, 2]"
28720060965,70992183,,28719174735,"[6, 4, 5, 9, 7, 3, 8, 2, 1, 0]"
28927049674,25763468,,28927049674,"[6, 8, 4, 5, 9, 7, 0, 2, 1, 3]"
6449497454419968,11458102,,6449497454419968,"[6, 8, 4, 5, 3, 2, 7, 1, 0, 9]"
12233327662596096,10032112,,12231738159796224,"[6, 8, 4, 5, 9, 7, 3, 2, 1, 0]"
13332873482342400,142389870,,13332873482342400,"[6, 4, 5, 9, 7, 3, 8, 1, 2, 0]"
